"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","GeneID_100037419",2.965286082658,-5.31706218424544,4.17756127390925,-1.27276701300658,0.203100729905426,0.811369699080341
"2","GeneID_100049551",25.2511067088153,-2.13771662349552,2.02771076352576,-1.05425125809289,0.291767897953956,0.863778230941435
"3","GeneID_100049563",56.6045234158154,2.62964702246256,1.74135257871635,1.51011751129747,0.13101344196192,0.734928664510912
"4","GeneID_100049571",8609.38719002235,-0.499579199922997,0.786418331620222,-0.635258843589947,0.525259611056377,0.950520776303187
"5","GeneID_100049572",226.823468449052,0.413939917523404,1.86362953445265,0.22211491601252,0.824224426567323,0.999239974327918
"6","GeneID_100126690",19.8332256247535,-7.76164005977642,5.10342603647035,-1.520868531122,0.128292832393807,0.734310720582307
"7","GeneID_100174948",17.7143826039011,-1.25335443666685,1.43530729084596,-0.873230732304112,0.382537326991134,0.899736502522714
"8","GeneID_100188973",538.887848778143,-0.275941782672026,1.15263631408793,-0.239400563125912,0.81079499338965,0.996995419541096
"9","GeneID_100191002",9152.92551354551,-0.351746448161569,0.879694075799944,-0.399850877524338,0.689266354764843,0.983508872542067
"10","GeneID_100192200",2358.49929470691,-0.7874563491402,1.25379673663395,-0.628057424406983,0.529966322537735,0.951605590143656
"11","GeneID_100192201",2009.27637601968,-0.802604697773112,1.18634604450657,-0.676535064528269,0.498700991174559,0.942031285478344
"12","GeneID_100192202",1496.73846819766,-0.534546020150727,1.25761444174242,-0.425047615873523,0.670801963894038,0.97978479227209
"13","GeneID_100216325",235.128169954292,-1.92181218451911,1.29649741607706,-1.48231084820371,0.138257603117755,0.749122883679326
"14","GeneID_100216489",42.9290909848735,-0.750952474042157,1.54388651491014,-0.486403933702256,0.626680802085529,0.969008465109152
"15","GeneID_100302584",265.851345745616,-2.44578081935072,1.33694256078297,-1.82938361833464,0.0673421599420092,0.613648755046238
"16","GeneID_100315656",12.2533157663724,3.10627773186885,2.63045536516278,1.18088973225236,0.237646530790977,0.842177922562163
"17","GeneID_100315657",0.20092428132955,1.37290487813414,5.24016986693437,0.261996254510224,0.793324329828895,0.996189472332264
"18","GeneID_100315658",3.41224950813232,-2.513024294812,3.31036638475226,-0.759137812173037,0.447770121999177,0.924743151061053
"19","GeneID_100315659",0.121624285628859,0,5.26764854516694,0,1,1
"20","GeneID_100315660",0.164504809397282,0.588407270366343,5.26614889618521,0.111733884089868,0.911034411924786,1
"21","GeneID_100315661",0.619081266441625,0,5.26764854509511,0,1,1
"22","GeneID_100315662",1.37771890733591,1.35934051723576,5.23674376063381,0.259577435782582,0.795189743475215,0.996189472332264
"23","GeneID_100315663",1.4650912099969,-2.81813014974003,5.15969313537407,-0.546181735192614,0.584941019939884,0.963874228844333
"24","GeneID_100315664",0.922714492044195,0,5.26764854497302,0,1,1
"25","GeneID_100315665",2.68671233627818,3.36732501344754,3.87839075634658,0.868227371864803,0.385269872590147,0.899848560610596
"26","GeneID_100315666",21.3757418020685,18.9847423828084,4.13053066026666,4.59619936136311,4.3026704117317e-06,0.00216424321710105
"27","GeneID_100315667",15.3619543756125,19.1169820886453,2.68367234241994,7.12344118410782,1.05265183186099e-12,2.11793548570432e-09
"28","GeneID_100315668",0.420440741825956,-2.8621850620056,5.19930343311829,-0.550493945741688,0.581980628292394,0.963545134450866
"29","GeneID_100315669",1.50459874829179,0.598392389998068,4.26467932310025,0.140313572173361,0.888412241364464,1
"30","GeneID_100315670",0.155249680004048,0,5.26764854511632,0,1,1
