"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","GeneID_100037419",2.965286082658,-1.55279389047668,4.05885190671201,-0.382569733058963,0.70203881551047,NA
"2","GeneID_100049551",25.2511067088153,-0.0794103134354654,2.01171750139294,-0.0394738890428107,0.968512570812115,0.995096995610483
"3","GeneID_100049563",56.6045234158154,2.39785290644503,1.7437401286452,1.37512056243612,0.169094070487966,0.583784965684669
"4","GeneID_100049571",8609.38719002235,0.258855155499223,0.786410771131095,0.329160236611347,0.742034576325519,0.943292788632989
"5","GeneID_100049572",226.823468449052,-0.174979151291561,1.86579322507536,-0.0937827134003523,0.925281763864395,0.985317015063422
"6","GeneID_100126690",19.8332256247535,-6.00841080837848,5.05592814814281,-1.18838927934242,0.234680078143957,0.656415069124209
"7","GeneID_100174948",17.7143826039011,-1.90043121985544,1.46576951212785,-1.29654164869114,0.194788940869283,0.616869878849976
"8","GeneID_100188973",538.887848778143,2.91669359390909,1.15091500782159,2.5342389091178,0.0112691870904224,0.161205754849843
"9","GeneID_100191002",9152.92551354551,-0.659130309502199,0.87972810032519,-0.749243214191467,0.45371062715648,0.814708798267182
"10","GeneID_100192200",2358.49929470691,0.188575975784186,1.2537547567792,0.150408981313557,0.880441955815886,0.975836077578434
"11","GeneID_100192201",2009.27637601968,-0.306087544408039,1.18635620080633,-0.258006443764528,0.796401934147714,0.95800746967326
"12","GeneID_100192202",1496.73846819766,-0.354758521791914,1.25768650364308,-0.282072297638801,0.777888074372095,0.953732524180678
"13","GeneID_100216325",235.128169954292,-1.0372979162452,1.29614377825612,-0.800295409850916,0.423539661915269,0.795545986499644
"14","GeneID_100216489",42.9290909848735,-0.651252009882625,1.54699109311125,-0.420979805754959,0.673769828130248,0.921097524081435
"15","GeneID_100302584",265.851345745616,-1.10611894015743,1.33611145216995,-0.827864276113347,0.407747368336491,0.783389671591471
"16","GeneID_100315656",12.2533157663724,4.84138911402277,2.61364944584924,1.85234830237522,0.063975823803088,0.378322665372141
"17","GeneID_100315657",0.20092428132955,0,5.26764854512258,0,1,NA
"18","GeneID_100315658",3.41224950813232,-3.37718878687799,3.35391276982073,-1.00693995898364,0.31396362800612,NA
"19","GeneID_100315659",0.121624285628859,0,5.26764854516694,0,1,NA
"20","GeneID_100315660",0.164504809397282,0,5.26764854512245,0,1,NA
"21","GeneID_100315661",0.619081266441625,1.02911509982662,5.25383648108755,0.195878783729027,0.844705043710396,NA
"22","GeneID_100315662",1.37771890733591,0,5.26764854497319,0,1,NA
"23","GeneID_100315663",1.4650912099969,-0.433778453788211,5.10490355352985,-0.0849728989469878,0.932282936273324,NA
"24","GeneID_100315664",0.922714492044195,2.20249132251014,5.22037968376008,0.421902515895885,0.673096173583786,NA
"25","GeneID_100315665",2.68671233627818,-1.15868098995443,4.0363168521477,-0.287063932886711,0.774063367811305,NA
"26","GeneID_100315666",21.3757418020685,15.1634535281792,4.20824757634448,3.60327030505914,0.000314238442464439,0.0203169436618826
"27","GeneID_100315667",15.3619543756125,13.2817687995562,2.8664025463563,4.63360207952635,3.59357433762813e-06,0.000815664915613126
"28","GeneID_100315668",0.420440741825956,-2.53199104528527,5.19930343311829,-0.486986589233687,0.626267834685892,NA
"29","GeneID_100315669",1.50459874829179,-1.88124038135635,4.37681653280605,-0.429819337241047,0.667327065299999,NA
"30","GeneID_100315670",0.155249680004048,0,5.26764854511632,0,1,NA
"31","GeneID_100315671",2.64433844552231,-4.54730663539928,3.454158548633,-1.3164730487542,0.188015318514777,NA
"32","GeneID_100315672",9.8408902237641,2.10731253161703,2.78085886869547,0.7577919740334,0.448575527894688,0.811373419307863
"33","GeneID_100315673",0.700793795550271,0,5.26764854510184,0,1,NA
"34","GeneID_100315674",0.170023347421699,0,5.2676485451192,0,1,NA
"35","GeneID_100315675",0.133050588060369,0,5.26764854515479,0,1,NA
"36","GeneID_100315676",0.543354355992833,0.0574964883943683,5.13676199404136,0.0111931384909529,0.991069354092867,NA
"37","GeneID_100315677",11.9164738237116,2.00898851308516,2.82242191156025,0.711795959653171,0.476591135017414,0.827198485624031
"38","GeneID_100315678",0.200976773800104,1.57404629367181,5.2253846103915,0.301230705686538,0.763238576830324,NA
"39","GeneID_100315679",0.286752385878362,0.773373559191506,5.2506608951371,0.147290707710293,0.882902566659332,NA
"40","GeneID_100315680",0.490832465483406,0,5.26764854506485,0,1,NA
"41","GeneID_100315681",1.0359515689029,0,5.26764854512521,0,1,NA
"42","GeneID_100315682",0.595361295805045,0.684269365568617,5.23842582530518,0.130624998499192,0.896071966222098,NA
"43","GeneID_100315683",0.207873141740414,0,5.26764854513935,0,1,NA
"44","GeneID_100315684",0.133050588060369,0,5.26764854515479,0,1,NA
"45","GeneID_100315685",0.0799633347700787,0,5.26764854516245,0,1,NA
"46","GeneID_100315686",0.0396761830304557,0.909789560660518,5.25605083428326,0.173093752200093,0.8625777358493,NA
"47","GeneID_100315687",0.230251957062839,-1.61158034315682,5.25267236962651,-0.306811510361041,0.758986846547672,NA
"48","GeneID_100315688",0.483328332261958,0.773660322995694,5.25338685718868,0.147268865596111,0.882919806153583,NA
"49","GeneID_100315689",0.103936570870207,0,5.26764854516573,0,1,NA
"50","GeneID_100315690",0.548959049515332,0,5.26764854506834,0,1,NA
"51","GeneID_100315692",0.884720176087321,-3.54494119943695,5.16691013779361,-0.686085320800783,0.49265930699518,NA
"52","GeneID_100328599",62.5396927257077,0.000532834090464952,1.52930357765342,0.000348416166842778,0.999722004125366,1
"53","GeneID_100359409",2492.82520147241,-0.295728635741379,0.838996009165605,-0.352479192404604,0.7244789205155,0.938939481524201
"54","GeneID_100359410",4285.46882803257,-0.563895927077024,0.775546183564315,-0.727095225310024,0.467167623484665,0.822264347027621
"55","GeneID_100576090",1.51855566512464,-3.92126333554152,4.65046677238921,-0.843197796578804,0.399117830543059,NA
"56","GeneID_100576341",3.71318045887948,-4.09385430071471,2.88371277531992,-1.41964703827361,0.155710463939765,NA
"57","GeneID_100576395",204.847628194591,-5.1446724064764,1.41420171352469,-3.63786322507987,0.000274909340677432,0.0186798270467952
"58","GeneID_100576480",107.957512781091,2.66246993220172,2.2281407234772,1.1949289845781,0.232114777335642,0.654250101598479
"59","GeneID_100576681",2.77347577420855,4.18283763057705,3.32419211121903,1.25830201463391,0.208282552854329,NA
"60","GeneID_100576714",12.3732640773937,-1.47148003163744,2.14834055272593,-0.684937976788804,0.493383060233606,0.835550524649653
"61","GeneID_100576749",8.16550396100626,0.198981909913851,2.82236275611317,0.0705018904755814,0.943794195914385,0.989717534848585
"62","GeneID_100577031",1.59027683851044,3.32666124458162,4.58706638235121,0.72522631400779,0.468313202176304,NA
"63","GeneID_100577181",2.50177450305071,1.28283730504227,3.76805588417092,0.340450711050037,0.733517135025506,NA
"64","GeneID_100577189",8.53739889244279,-1.62096714084479,2.55554917030035,-0.634293074726586,0.525889575197358,0.851577108106468
"65","GeneID_100577309",8.65146931909083,2.48753099622631,3.01513668279206,0.825014338627866,0.409363450228904,0.783715840755179
