"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","GeneID_100037419",2.965286082658,-0.149552436903741,4.09625491587018,-0.0365095532322287,0.970876061411294,NA
"2","GeneID_100049551",25.2511067088153,-0.121577601762321,2.01192126114475,-0.0604286082712527,0.951814274179475,0.981269539037902
"3","GeneID_100049563",56.6045234158154,0.58548064056087,1.72635432957252,0.339142799674181,0.734502157483682,0.888146383980421
"4","GeneID_100049571",8609.38719002235,-0.0107087572190818,0.786401581517179,-0.0136174156700216,0.989135210063486,0.996987304586475
"5","GeneID_100049572",226.823468449052,-1.86077536045171,1.86377262956005,-0.998391826845827,0.318089395298923,0.621116772682407
"6","GeneID_100126690",19.8332256247535,14.9558867021306,5.19037259495442,2.88146687516602,0.00395828838330677,0.0593342506192789
"7","GeneID_100174948",17.7143826039011,-0.796488707990761,1.47969996718042,-0.53827716811299,0.590385711585433,NA
"8","GeneID_100188973",538.887848778143,0.756956123629191,1.14930502883284,0.658620735696169,0.510139344031094,0.768743930752767
"9","GeneID_100191002",9152.92551354551,0.210632381475634,0.879757999082972,0.239420819924558,0.810779287427728,0.927595199581755
"10","GeneID_100192200",2358.49929470691,0.0997617538626145,1.25375543429787,0.0795703461245477,0.936578980776044,0.976723814928467
"11","GeneID_100192201",2009.27637601968,-0.181854187937061,1.18637625374031,-0.153285424724008,0.878173194224666,0.954803998540095
"12","GeneID_100192202",1496.73846819766,-0.186577392534601,1.25771660746092,-0.148346130939038,0.882069610850979,0.95614852448226
"13","GeneID_100216325",235.128169954292,-0.288515836053996,1.2966991891184,-0.222500205502675,0.823924513310204,0.93409894370149
"14","GeneID_100216489",42.9290909848735,-1.18685237380408,1.54527579324213,-0.768052136061716,0.442456211347965,0.723573155576944
"15","GeneID_100302584",265.851345745616,1.13834735310864,1.33849513348697,0.850468055227876,0.395064913454343,0.687917648548519
"16","GeneID_100315656",12.2533157663724,0.783777066668413,2.43197323907373,0.322280300652869,0.747240355463768,NA
"17","GeneID_100315657",0.20092428132955,0,5.26764854512258,0,1,NA
"18","GeneID_100315658",3.41224950813232,-0.195224195045377,3.48364791537457,-0.0560401624354126,0.955309812418817,NA
"19","GeneID_100315659",0.121624285628859,-1.16905622112656,5.26764854516694,-0.221931324974057,0.824367344730345,NA
"20","GeneID_100315660",0.164504809397282,0,5.26764854512244,0,1,NA
"21","GeneID_100315661",0.619081266441625,-2.69588643620092,5.1523822299145,-0.523231063982157,0.60081346659153,NA
"22","GeneID_100315662",1.37771890733591,-3.16985404197136,5.18748165973039,-0.611058361242689,0.541160944398926,NA
"23","GeneID_100315663",1.4650912099969,0.867880095477713,5.16975608596556,0.167876410617082,0.866680508336301,NA
"24","GeneID_100315664",0.922714492044195,-0.252873504928508,5.16558055135306,-0.0489535498313487,0.960956313389598,NA
"25","GeneID_100315665",2.68671233627818,-1.16679834253559,4.05708626039198,-0.287595152690408,0.773656655785375,NA
"26","GeneID_100315666",21.3757418020685,-6.75031481042941,4.0410719636301,-1.67042677566316,0.0948349557246739,0.338623288105668
"27","GeneID_100315667",15.3619543756125,-5.57425288398097,2.62012384014009,-2.12747687669714,0.0333804805860761,NA
"28","GeneID_100315668",0.420440741825956,0,5.2676485450854,0,1,NA
"29","GeneID_100315669",1.50459874829179,-0.328819788237441,4.46559941708281,-0.0736339643407257,0.941301644850844,NA
"30","GeneID_100315670",0.155249680004048,0,5.26764854511632,0,1,NA
"31","GeneID_100315671",2.64433844552231,-1.82437689119637,3.52110496867444,-0.518126243729443,0.604370190840873,NA
"32","GeneID_100315672",9.8408902237641,4.91583177165418,2.93456278693082,1.67514963167495,0.0939048771102006,NA
"33","GeneID_100315673",0.700793795550271,-4.02597769298939,5.16021657099524,-0.78019548939453,0.435275816920401,NA
"34","GeneID_100315674",0.170023347421699,0,5.2676485451192,0,1,NA
"35","GeneID_100315675",0.133050588060369,-1.71610296101698,5.25217315761711,-0.32674150480514,0.743863405375762,NA
"36","GeneID_100315676",0.543354355992833,2.36436383199839,5.20247315425648,0.45446920376013,0.649491152692725,NA
"37","GeneID_100315677",11.9164738237116,1.82251351017309,2.82243000365749,0.645724963174058,0.51845749090705,NA
"38","GeneID_100315678",0.200976773800104,1.38758491253516,5.22538457296866,0.265546945523063,0.790588150159735,NA
"39","GeneID_100315679",0.286752385878362,-0.390494042764043,5.24721221898933,-0.0744193347756871,0.940676724534649,NA
"40","GeneID_100315680",0.490832465483406,-2.35500262001977,5.21779543172171,-0.451340542349068,0.651744129033133,NA
"41","GeneID_100315681",1.0359515689029,0,5.26764854512521,0,1,NA
"42","GeneID_100315682",0.595361295805045,-0.543220491210418,5.23076245788558,-0.103851110728894,0.917287505219186,NA
"43","GeneID_100315683",0.207873141740414,-2.14986614839599,5.23244330297139,-0.410872325587384,0.681166155986202,NA
"44","GeneID_100315684",0.133050588060369,-1.71610296101698,5.25217315761711,-0.32674150480514,0.743863405375762,NA
"45","GeneID_100315685",0.0799633347700787,0,5.26764854516245,0,1,NA
"46","GeneID_100315686",0.0396761830304557,0.723329943501779,5.25605067212919,0.137618525509527,0.890541913601117,NA
"47","GeneID_100315687",0.230251957062839,0,5.26764854513372,0,1,NA
"48","GeneID_100315688",0.483328332261958,0.587199626470754,5.25338679764176,0.111775441080095,0.911001460653627,NA
"49","GeneID_100315689",0.103936570870207,-1.20137097515385,5.26610910055135,-0.228132564710455,0.819543184531281,NA
"50","GeneID_100315690",0.548959049515332,-3.00319864714596,5.18974904964861,-0.578678972415689,0.562805806920478,NA
